,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Kailash Hospital,"Sector 27, Noida",27,325.0,https://www.practo.com/noida/hospital/kailash-hospital-sector-27
1,Max Hospital,"Sector 19, Noida",84,20.0,https://www.practo.com/noida/hospital/max-hospital-noida-sector-19
2,Yatharth Wellness Hospital & Trauma Centre,"Greater Noida, Noida",5,157.0,https://www.practo.com/noida/hospital/yatharth-wellness-hospital-trauma-centre-greater-noida
3,Metro Multispeciality Hospital,"Sector 11, Noida",25,207.0,https://www.practo.com/noida/hospital/metro-hospital-heart-institute-sector-11
4,Noida Medicare Centre Ltd.,"Sector 30, Noida",14,,https://www.practo.com/noida/hospital/noida-medicare-centre-ltd-sector-30-noida
5,Fortis Hospital,"Sector 62, Noida",44,75.0,https://www.practo.com/noida/hospital/fortis-noida-sector-62-noida
6,Apollo Hospitals,"Sector 26, Noida",10,700.0,https://www.practo.com/noida/hospital/apollo-hospitals-noida-noida-sector-26
7,Surbhi Hospital,"Sector 35, Noida",9,200.0,https://www.practo.com/noida/hospital/surbhi-hospital-noida
8,Bhardwaj Hospital & Healthcare,"Sector 29, Noida",28,,https://www.practo.com/noida/hospital/bhardwaj-hospital-noida-sector-29
9,Sumitra Hospital,"Sector 35, Noida",27,50.0,https://www.practo.com/noida/hospital/sumitra-hospital-noida-sector-35-1
10,ICare Eye Hospital,"Sector 26, Noida",11,10.0,https://www.practo.com/noida/hospital/eye-care-hospital-noida-okhla-industrial-estate
11,Astha Hospital,"Greater Noida, Noida",18,,https://www.practo.com/noida/hospital/astha-hospital-greater-noida-1
12,Ganapati Hospital And Maternity Center,"Sector 108, Noida",3,5.0,https://www.practo.com/noida/hospital/ganpati-hospital-salarpur-kalan
13,Jaypee Hospital,"Greater Noida West, Noida",10,50.0,https://www.practo.com/noida/hospital/jaypee-hospital-sector-128
14,Dr. Akash Garg Clinic,"Sector 22, Noida",1,34.0,https://www.practo.com/noida/hospital/indo-gulf-hospital-diagnostics-sector-19
15,J S Hospital,"Sector 135, Noida",6,100.0,https://www.practo.com/noida/hospital/js-hospital-noida-sector-135
16,Yatharth Wellness Superspeciality Hospital,"Sector 110, Noida",1,340.0,https://www.practo.com/noida/hospital/yatharth-superspeciality-hospital-noida-sector-110
17,Max Multispeciality Hospital,"Greater Noida, Noida",5,114.0,https://www.practo.com/noida/hospital/max-speciality-hospital-yatharth-wellness-hospital-greater-noida
18,Green City Hospital,"Greater Noida, Noida",1,50.0,https://www.practo.com/noida/hospital/green-city-hospital-greater-noida
19,AIMS Hospital,"Greater Noida, Noida",2,50.0,https://www.practo.com/noida/hospital/aims-hospital-greater-noida
20,Amrapali Hospital,"Greater Noida, Noida",10,100.0,https://www.practo.com/noida/hospital/amrapali-hospital-greater-noida-1
21,Narayan's Orthopaedic clinic,"Sector 50, Noida",1,5.0,https://www.practo.com/noida/hospital/dr-sujit-narayan-orthopedic-clinic-noida-sector-35
